clade_name	sub-MIC015	sub-MIC105	sub-MIC104	sub-MIC103	sub-MIC102	sub-MIC101	sub-MIC100	sub-MIC099	sub-MIC098	sub-MIC014	sub-MIC097	sub-MIC096	sub-MIC095	sub-MIC094	sub-MIC093	sub-MIC092	sub-MIC091	sub-MIC090	sub-MIC088	sub-MIC087	sub-MIC013	sub-MIC085	sub-MIC084	sub-MIC083	sub-MIC082	sub-MIC081	sub-MIC080	sub-MIC079	sub-MIC078	sub-MIC077	sub-MIC076	sub-MIC012	sub-MIC073	sub-MIC072	sub-MIC071	sub-MIC070	sub-MIC069	sub-MIC068	sub-MIC065	sub-MIC064	sub-MIC063	sub-MIC061	sub-MIC010	sub-MIC060	sub-MIC059	sub-MIC057	sub-MIC056	sub-MIC053	sub-MIC052	sub-MIC051	sub-MIC049	sub-MIC048	sub-MIC017	sub-MIC016	sub-MIC003	sub-MIC002	sub-MIC047	sub-MIC009	sub-MIC046	sub-MIC045	sub-MIC044	sub-MIC043	sub-MIC042	sub-MIC041	sub-MIC040	sub-MIC039	sub-MIC038	sub-MIC037	sub-MIC008	sub-MIC036	sub-MIC035	sub-MIC034	sub-MIC033	sub-MIC032	sub-MIC031	sub-MIC029	sub-MIC028	sub-MIC027	sub-MIC026	sub-MIC005	sub-MIC025	sub-MIC024	sub-MIC023	sub-MIC022	sub-MIC021	sub-MIC020	sub-MIC019	sub-MIC018
k__Bacteria___p__Bacillota___c__Clostridia	6291	23409	17743	11690	21341	11470	7460	10488	21399	425	15635	10207	16023	5501	14935	12054	17855	21080	8737	15944	2199	14229	26637	11888	8668	11044	36246	13931	29110	27861	23952	1539	39169	31691	21919	22437	14876	22212	17641	18842	26449	18055	5645	11081	14391	6740	23302	10895	18776	13264	11434	3261	4689	2491	6588	14878	9293	4160	6307	6675	8545	6104	16771	6923	13155	5247	5862	9763	5508	8409	7841	7005	6015	10581	18653	21452	16243	5688	20689	8066	5934	8916	7893	9403	2187	5920	955	796
k__Bacteria___p__Bacillota___c__Incertae Sedis	12	0	5	0	7	0	0	8	0	0	0	0	8	0	0	20	29	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	53	0	126	0	0	0	0	0	35	0	28	0	0	0	0	0	0	0	0	0	0	3	0	0	6	0	87	0	0	0	2	0	22	0	0	0	0	33	0	0	25	0	0	0	0	0	0	0	0	3
k__Bacteria___p__Bacillota___c__Negativicutes	83	567	2295	1364	1166	1429	1118	788	1306	65	160	521	1041	1811	1406	1076	1822	1435	1431	497	756	11224	3657	1679	4653	823	859	3142	6320	710	1748	84	2810	1159	839	311	412	326	163	2905	556	5571	12	66	3392	444	186	7397	282	241	98	31	59	52	62	343	107	165	36	368	48	600	138	211	244	165	32	19	7	240	45	345	103	127	278	833	295	22	193	89	201	98	369	232	310	261	73	46
k__Bacteria___p__Bacteroidota___c__Bacteroidia	10650	29834	28250	42782	19501	19551	31981	11633	14849	17835	28056	32331	26598	43486	16896	14224	21153	26719	31833	15866	16833	30346	30388	40763	49679	53426	31692	32086	31880	26728	38274	7670	35111	24277	22419	19067	9136	26771	23211	33802	21671	29843	3553	26435	46445	24563	12687	56466	9576	9963	12417	12007	14026	18035	13311	33665	10452	21695	18532	12495	18895	14522	18432	21764	14349	21270	23858	11265	7520	22479	31421	24445	30133	20170	8818	11811	19393	14265	17021	7393	21501	16148	20863	21443	22899	23419	8255	13400
k__Bacteria___p__Campylobacterota___c__Campylobacteria	0	0	0	0	0	0	0	5	0	0	0	4	0	0	0	13	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	2	7	0	0	0	0	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Candidatus Kryptonia___c__Kryptonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Cyanobacteriota___c__Cyanobacteriia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Cyanobacteriota___c__Vampirivibrionia	0	0	0	0	33	0	0	0	36	0	1286	0	0	0	215	0	545	0	0	72	0	709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	248	1155	0	0	256	7948	0	18	998	0	193	0	0	150	3177	343	400	0	0	89	0	0	0	0	0	29	78	0	0	0	0	0	0	0	0	0	72	0	0	299	0	0	0	548	0	0	15	0	0	27
k__Bacteria___p__Elusimicrobiota___c__Elusimicrobia	0	0	0	0	0	11	0	0	147	0	0	0	220	0	0	0	0	0	0	447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	518	0	0	0	0	0	3499
k__Bacteria___p__Fusobacteriota___c__Fusobacteriia	0	0	0	0	0	0	0	0	0	0	0	31	0	0	4	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	11	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	3	2	0	6	0	9	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
