clade_name	SRR11944139	SRR11944140	SRR11944141	SRR11944142	SRR11944143	SRR11944144	SRR11944145	SRR11944146	SRR11944147	SRR11944148	SRR11944149	SRR11944150	SRR11944151	SRR11944152	SRR11944153	SRR11944154	SRR11944155	SRR11944156	SRR11944157	SRR11944158	SRR11944159	SRR11944160	SRR11944161	SRR11944162	SRR11944163	SRR11944164	SRR11944165	SRR11944166	SRR11944167	SRR11944168	SRR11944169	SRR11944170	SRR11944171	SRR11944172	SRR11944173	SRR11944174	SRR11944175	SRR11944176	SRR11944177	SRR11944178	SRR11944179	SRR11944180	SRR11944181	SRR11944182	SRR11944183	SRR11944184	SRR11944185	SRR11944186	SRR11944187	SRR11944188	SRR11944189	SRR11944190	SRR11944191	SRR11944192	SRR11944193	SRR11944194	SRR11944195	SRR11944196	SRR11944197	SRR11944198	SRR11944199	SRR11944200	SRR11944201	SRR11944202	SRR11944204	SRR11944205	SRR11944206	SRR11944207	SRR11944208	SRR11944209	SRR11944210	SRR11944211	SRR11944212	SRR11944213	SRR11944214	SRR11944215	SRR11944216	SRR11944217	SRR11944218	SRR11944219	SRR11944220	SRR11944221	SRR11944222	SRR11944223	SRR11944224	SRR11944225	SRR11944226	SRR11944227	SRR11944228	SRR11944229	SRR11944230	SRR11944231	SRR11944232	SRR11944233	SRR11944234	SRR11944235	SRR11944236	SRR11944237	SRR11944238	SRR11944239	SRR11944240	SRR11944241	SRR11944242	SRR11944243	SRR11944244	SRR11944245	SRR11944246	SRR11944247	SRR11944248	SRR11944249
d__Bacteria___p__Actinobacteriota___c__Coriobacteriia	420	162	645	337	0	49	40	737	0	0	0	55	338	377	450	15	185	327	883	19	0	0	0	0	380	631	1483	494	1712	223	1567	0	1504	582	1425	502	1302	640	0	398	966	328	265	235	486	489	209	39	518	447	78	278	0	348	74	488	0	207	971	1118	355	1210	4	598	0	113	358	199	791	0	96	703	859	396	1149	23	266	602	940	0	0	17	542	817	786	205	277	106	1967	0	679	0	182	667	0	0	44	82	812	1920	347	0	350	2476	1354	182	1719	0	0	903
d__Bacteria___p__Actinobacteriota___c__Coriobacteriia___o__Coriobacteriales	420	162	645	337	0	49	40	737	0	0	0	55	338	377	450	15	185	327	883	19	0	0	0	0	380	631	1483	494	1712	223	1567	0	1504	582	1425	502	1302	640	0	398	966	328	265	235	486	489	209	39	518	447	78	278	0	348	74	488	0	207	971	1118	355	1210	4	598	0	113	358	199	791	0	96	703	859	396	1149	23	266	602	940	0	0	17	542	817	786	205	277	106	1967	0	679	0	182	667	0	0	44	82	812	1920	347	0	350	2476	1354	182	1719	0	0	903
d__Bacteria___p__Actinobacteriota___c__Coriobacteriia___o__Coriobacteriales___f__Atopobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	5	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	89	0	26	0	0	0	0	0	0	16	11	0	0	11	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Actinobacteriota___c__Coriobacteriia___o__Coriobacteriales___f__Atopobiaceae___g__Atopobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Actinobacteriota___c__Coriobacteriia___o__Coriobacteriales___f__Atopobiaceae___g__Libanicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Actinobacteriota___c__Coriobacteriia___o__Coriobacteriales___f__Atopobiaceae___g__Olsenella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	89	0	26	0	0	0	0	0	0	0	7	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Actinobacteriota___c__Coriobacteriia___o__Coriobacteriales___f__Coriobacteriaceae	411	158	623	299	0	0	0	734	0	0	0	0	305	377	450	0	8	327	883	3	0	0	0	0	380	629	1438	466	1707	215	1554	0	1201	582	1410	431	1153	609	0	328	966	0	256	219	465	435	209	0	487	376	0	278	0	220	0	443	0	0	971	1025	344	1210	0	564	0	69	358	0	787	0	96	699	731	360	1039	0	174	584	920	0	0	0	542	801	775	205	268	93	1546	0	659	0	172	614	0	0	34	0	781	1913	159	0	247	2468	1354	0	1702	0	0	903
d__Bacteria___p__Actinobacteriota___c__Coriobacteriia___o__Coriobacteriales___f__Coriobacteriaceae___g__Collinsella	411	158	623	299	0	0	0	734	0	0	0	0	305	377	450	0	8	327	883	3	0	0	0	0	380	629	1438	466	1707	215	1554	0	1201	582	1410	431	1153	609	0	328	966	0	256	219	465	435	209	0	487	376	0	278	0	220	0	443	0	0	971	1025	344	1210	0	564	0	69	358	0	787	0	96	699	731	360	1039	0	174	584	920	0	0	0	542	801	775	205	268	93	1546	0	659	0	172	614	0	0	34	0	781	1913	159	0	247	2468	1354	0	1702	0	0	903
d__Bacteria___p__Actinobacteriota___c__Coriobacteriia___o__Coriobacteriales___f__Coriobacteriales_Incertae_Sedis	0	4	19	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	71	0	0	0	0	0	328	0	0	0	21	0	6	0	42	0	0	0	115	0	34	0	39	0	79	0	0	0	16	0	0	0	0	0	0	0	0	0	5	2	23	4	18	5	0	0	17	0	0	0	0	0	0	16	0	3	0	0	51	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Actinobacteriota___c__Coriobacteriia___o__Coriobacteriales___f__Coriobacteriales_Incertae_Sedis___g__Raoultibacter	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	23	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Actinobacteriota___c__Coriobacteriia___o__Coriobacteriales___f__Eggerthellaceae	9	0	3	0	0	49	40	3	0	0	0	55	33	0	0	15	177	0	0	16	0	0	0	0	0	2	45	28	5	8	13	0	196	0	15	0	144	31	0	27	0	0	9	16	21	33	0	19	31	29	78	0	0	13	74	11	0	168	0	14	11	0	4	18	0	44	0	199	4	0	0	4	74	31	15	0	51	0	15	0	0	0	0	0	0	0	9	2	405	0	17	0	10	2	0	0	0	82	21	7	188	0	103	8	0	182	17	0	0	0
