clade_name	DN1	DN10	DN11	DN12	DN13	DN14	DN15	DN2	DN3	DN4	DN5	DN6	DN7	DN8	DN9	HN1	HN10	HN11	HN12	HN13	HN14	HN15	HN2	HN3	HN4	HN5	HN6	HN7	HN8	HN9
d__Bacteria___p__Bacteroidota___c__Bacteroidia___o__Bacteroidales___f__Porphyromonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0
d__Bacteria___p__Bacteroidota___c__Bacteroidia___o__Bacteroidales___f__Porphyromonadaceae___g__Porphyromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0
d__Bacteria___p__Bacteroidota___c__Bacteroidia___o__Bacteroidales___f__Prevotellaceae	0	3	0	7	92	0	13	0	0	0	0	0	0	0	0	0	1088	0	0	0	0	0	0	12167	29	184	21	2710	0	3
d__Bacteria___p__Bacteroidota___c__Bacteroidia___o__Bacteroidales___f__Prevotellaceae___g__Alloprevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	1518	0	0	0	453	0	0
d__Bacteria___p__Bacteroidota___c__Bacteroidia___o__Bacteroidales___f__Prevotellaceae___g__Paraprevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	123	0	0	21	63	0	0
d__Bacteria___p__Bacteroidota___c__Bacteroidia___o__Bacteroidales___f__Prevotellaceae___g__Prevotella	0	3	0	7	0	0	13	0	0	0	0	0	0	0	0	0	758	0	0	0	0	0	0	10469	0	177	0	1978	0	3
d__Bacteria___p__Bacteroidota___c__Bacteroidia___o__Bacteroidales___f__Prevotellaceae___g__Prevotellaceae_NK3B31_group	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Bacteroidota___c__Bacteroidia___o__Bacteroidales___f__Prevotellaceae___g__Prevotellaceae_YAB2003_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
d__Bacteria___p__Bacteroidota___c__Bacteroidia___o__Bacteroidales___f__Rikenellaceae	691	505	2	276	437	32	340	49	53	0	579	111	370	64	7	2244	1697	3079	1186	4094	191	30	4	537	309	39	2	80	2416	330
d__Bacteria___p__Bacteroidota___c__Bacteroidia___o__Bacteroidales___f__Rikenellaceae___g__Alistipes	691	505	2	276	437	32	340	49	53	0	579	111	370	64	7	2244	1697	3079	1186	4094	191	30	4	537	154	39	2	80	2416	330
d__Bacteria___p__Bacteroidota___c__Bacteroidia___o__Bacteroidales___f__Rikenellaceae___g__Rikenellaceae_RC9_gut_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0
d__Bacteria___p__Bacteroidota___c__Bacteroidia___o__Bacteroidales___f__Tannerellaceae	35	105	210	139	353	0	50	0	19	409	739	88	223	40	15	640	893	575	1233	412	1107	7	0	190	259	3719	0	201	127	456
d__Bacteria___p__Bacteroidota___c__Bacteroidia___o__Bacteroidales___f__Tannerellaceae___g__Parabacteroides	35	105	210	139	353	0	50	0	19	409	739	88	223	40	15	640	873	575	1233	412	1107	7	0	190	259	3719	0	201	127	456
d__Bacteria___p__Bacteroidota___c__Bacteroidia___o__Flavobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	16	0
d__Bacteria___p__Cyanobacteria	0	0	0	7	0	0	0	11	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	8	29	14
d__Bacteria___p__Cyanobacteria___c__Cyanobacteriia	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	14
d__Bacteria___p__Cyanobacteria___c__Cyanobacteriia___o__Chloroplast	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	14
d__Bacteria___p__Cyanobacteria___c__Vampirivibrionia	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	21	0
