clade_name	SRR9160233	SRR9160234	SRR9160235	SRR9160236	SRR9160237	SRR9160238	SRR9160239	SRR9160240	SRR9160241	SRR9160242	SRR9160243	SRR9160244	SRR9160245	SRR9160246	SRR9160247	SRR9160248	SRR9160249	SRR9160250	SRR9160251	SRR9160252	SRR9160253	SRR9160254	SRR9160255	SRR9160256	SRR9160257	SRR9160258	SRR9160259	SRR9160260	SRR9160261	SRR9160262	SRR9160263	SRR9160264	SRR9160265	SRR9160266	SRR9160267	SRR9160268	SRR9160269	SRR9160270	SRR9160271	SRR9160272	SRR9160273	SRR9160274	SRR9160275	SRR9160276	SRR9160277	SRR9160278	SRR9160279	SRR9160280	SRR9160281	SRR9160282	SRR9160283	SRR9160284	SRR9160285	SRR9160286	SRR9160287	SRR9160288	SRR9160289	SRR9160290	SRR9160291	SRR9160292	SRR9160293	SRR9160294	SRR9160295	SRR9160296	SRR9160297	SRR9160298	SRR9160299	SRR9160300	SRR9160301	SRR9160302	SRR9160303	SRR9160304	SRR9160305	SRR9160306	SRR9160307	SRR9160308	SRR9160309	SRR9160310	SRR9160311	SRR9160312	SRR9160313	SRR9160314	SRR9160315	SRR9160316	SRR9160317	SRR9160318	SRR9160319	SRR9160320	SRR9160321	SRR9160322	SRR9160323	SRR9160324	SRR9160325	SRR9160326	SRR9160327	SRR9160328	SRR9160329	SRR9160330	SRR9160331	SRR9160332	SRR9160333	SRR9160334	SRR9160335	SRR9160336	SRR9160337	SRR9160338	SRR9160339	SRR9160340	SRR9160341	SRR9160342	SRR9160343	SRR9160344	SRR9160345	SRR9160346	SRR9160347	SRR9160348	SRR9160349	SRR9160350	SRR9160351	SRR9160352	SRR9160353	SRR9160354	SRR9160355	SRR9160356	SRR9160357	SRR9160358	SRR9160359	SRR9160360
d__Bacteria___p__Firmicutes___c__Bacilli___o__RF39	0	0	21	0	22	0	0	13	107	183	93	0	682	36	3	0	0	119	150	0	0	0	0	469	7	0	0	110	0	162	0	0	0	143	0	0	0	0	0	0	0	0	10	487	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	4	0	0	0	0	0	7	0	0	0	0	113	16	0	0	0	0	0	21	0	0	0	0	0	187	0	1066	0	0	0	0	0	0	0	0	0	0	0	1260	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Firmicutes___c__Bacilli___o__Staphylococcales	62	115	244	0	294	0	12	96	6	63	0	0	4	0	41	16	0	0	0	0	0	0	0	0	16	0	2	0	5	0	0	0	0	0	23	0	34	4	0	11	15	14	0	0	6	0	0	18	0	8	0	6	5	79	0	0	0	0	0	0	4	32	0	0	0	0	0	22	4	124	6	19	0	0	0	0	0	0	6	0	0	8	0	0	6	0	73	9	0	0	7	58	0	0	10	0	0	0	0	14	303	30	8	75	0	18	4	0	0	0	0	14	9	53	29	0	23	0	0	8	3	49	0	0	0	6	0	2
d__Bacteria___p__Firmicutes___c__Bacilli___o__Staphylococcales___f__Gemellaceae	62	0	19	0	25	0	12	9	6	0	0	0	4	0	41	16	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	34	4	0	11	15	14	0	0	6	0	0	18	0	8	0	6	5	48	0	0	0	0	0	0	0	32	0	0	0	0	0	6	4	0	6	0	0	0	0	0	0	0	6	0	0	8	0	0	0	0	11	9	0	0	7	30	0	0	0	0	0	0	0	14	0	18	8	70	0	18	4	0	0	0	0	14	9	0	10	0	23	0	0	8	3	49	0	0	0	6	0	2
d__Bacteria___p__Firmicutes___c__Bacilli___o__Staphylococcales___f__Gemellaceae___g__Gemella	62	0	19	0	25	0	12	9	6	0	0	0	4	0	41	16	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	34	4	0	11	15	14	0	0	6	0	0	18	0	8	0	6	5	48	0	0	0	0	0	0	0	32	0	0	0	0	0	6	4	0	6	0	0	0	0	0	0	0	6	0	0	8	0	0	0	0	11	9	0	0	7	30	0	0	0	0	0	0	0	14	0	18	8	70	0	18	4	0	0	0	0	14	9	0	10	0	23	0	0	8	3	49	0	0	0	6	0	2
d__Bacteria___p__Firmicutes___c__Bacilli___o__Staphylococcales___f__Staphylococcaceae	0	115	225	0	269	0	0	87	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	4	0	0	0	0	0	0	16	0	124	0	19	0	0	0	0	0	0	0	0	0	0	0	0	6	0	62	0	0	0	0	28	0	0	10	0	0	0	0	0	303	12	0	5	0	0	0	0	0	0	0	0	0	53	19	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Firmicutes___c__Bacilli___o__Staphylococcales___f__Staphylococcaceae___g__Jeotgalicoccus	0	0	13	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Firmicutes___c__Bacilli___o__Staphylococcales___f__Staphylococcaceae___g__Macrococcus	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Firmicutes___c__Bacilli___o__Staphylococcales___f__Staphylococcaceae___g__Nosocomiicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Firmicutes___c__Bacilli___o__Staphylococcales___f__Staphylococcaceae___g__Staphylococcus	0	115	212	0	243	0	0	76	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	16	0	113	0	19	0	0	0	0	0	0	0	0	0	0	0	0	6	0	62	0	0	0	0	0	0	0	10	0	0	0	0	0	275	12	0	5	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Firmicutes___c__Bacilli___o__Thermicanales	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
