clade_name	2001	2002	2003	2005	2006	2008	2009	2010	2011	2012	2013	2014	2016	2017	2018	2019	2021	2022	2023	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2046	2047	2049	2050	2051	2052	2053	2054	3001	3002	3003	3004	3005	3010	3011	3013	3014	3015	3016	3017	3018	3022	3026	3030	3031	3032	3036	3038	3039	3040	3042	3043	3045	3046	3047	3048	3050	3051	3053	3056	3057	3059	3060	3061	3063	3065	3066	3067	3068	3069	3070
k__Bacteria___p__Bacillota___c__Bacilli	1271	724	434	380	149	258	710	215	2564	630	738	629	79	643	412	236	380	799	1027	460	273	2353	171	729	591	776	221	657	576	420	427	537	592	210	452	42	1075	703	158	1428	36	361	332	602	297	130	518	487	672	891	2133	183	301	507	169	1036	1839	216	246	571	451	212	359	269	607	43	587	280	525	276	1708	471	177	164	1549	186	1384	338	1248	256	666	737	454	334	185	189	1447	587	178	463
k__Bacteria___p__Bacillota___c__Clostridia	32342	26016	33647	19104	59975	17549	22942	15570	32918	16393	17879	20112	17366	15855	20499	17298	25975	16390	11477	22997	6418	23420	24686	37632	29789	26904	21416	21322	16551	17853	25733	18584	21433	26148	35971	12366	33743	13819	27043	44223	23111	21469	37477	36728	16826	24096	31505	13954	27091	26247	10284	19029	19766	28746	20874	13443	17512	16596	17770	21151	31743	14085	14540	19716	105574	4680	21354	19081	12070	33987	18598	19991	9172	7720	46312	24171	29774	22849	20759	27420	12383	22512	19837	21361	9351	14805	31566	26686	14089	20747
k__Bacteria___p__Bacillota___c__Incertae Sedis	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Bacillota___c__Negativicutes	396	492	273	573	160	0	896	365	276	368	153	112	227	154	130	498	183	384	551	313	689	265	600	263	224	112	1476	181	76	9	125	138	319	196	1017	657	164	50	142	357	113	486	820	949	320	236	100	561	315	259	241	909	141	203	277	148	658	232	71	429	2043	74	446	574	292	7783	809	927	663	453	212	348	4158	253	226	378	4225	293	96	297	415	76	129	498	666	483	122	310	290	304
k__Bacteria___p__Bacteroidota___c__Bacteroidia	17769	12890	20164	22065	1322	17897	28221	13142	9021	17114	19080	7054	9440	4048	7558	8791	13862	19004	31350	14913	23024	13972	9840	10103	9438	18392	5818	13884	16475	12581	8035	11714	16087	13865	1223	10232	8989	18881	13196	2236	19412	12297	3487	27824	13576	11472	5869	22758	11398	14379	26383	17074	16011	15817	14793	26745	27578	25034	7784	21593	560	19758	25667	22425	14301	23173	22363	17464	20647	8629	12177	13780	31888	17991	31261	12993	3421	9520	11594	11868	30676	10802	17248	17083	23275	14993	3207	9525	15678	8598
k__Bacteria___p__Campylobacterota___c__Campylobacteria	0	7	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	8	3	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Cyanobacteriota___c__Vampirivibrionia	0	0	0	0	0	0	28	0	42	0	0	0	0	0	0	0	0	0	0	0	0	1984	0	0	0	0	0	0	0	0	0	18	0	0	0	0	355	0	0	0	0	0	65	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0
k__Bacteria___p__Deferribacterota___c__Deferribacteres	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Elusimicrobiota___c__Elusimicrobia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1538	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Fusobacteriota___c__Fusobacteriia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	14	0	6	0	7	0	0	0	0	0	117	0	4	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	30	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	3	0	0
